gemini_output,name,address
"Aburiya Raku UWS: 2182 Broadway, New York, NY 10024",Aburiya Raku UWS,"2182 Broadway, New York, NY 10024"
"Sushi Gari Tribeca: 130 W Broadway, New York, NY 10013",Sushi Gari Tribeca,"130 W Broadway, New York, NY 10013"
"Donburi King: 328 E 6th St, New York, NY 10003",Donburi King,"328 E 6th St, New York, NY 10003"
Han Dynasty: Multiple Locations,Han Dynasty,"215 W 85th St, New York, NY 10024, United States"
Han Dynasty: Multiple Locations,Han Dynasty,"90 3rd Ave, New York, NY 10003, United States"
Han Dynasty: Multiple Locations,Han Dynasty,"1 Dekalb Ave, Brooklyn, NY 11201, United States"
Han Dynasty: Multiple Locations,Han Dynasty,"4504 Pearson St, Queens, NY 11101, United States"
"Ramen Takumi: 428 E 9th St, New York, NY 10009",Ramen Takumi,"428 E 9th St, New York, NY 10009"
"Izakaya Juraku West Village: 35 Carmine St, New York, NY 10014",Izakaya Juraku West Village,"35 Carmine St, New York, NY 10014"
"Yopparai Sake Bar: 150 E 46th St, New York, NY 10017",Yopparai Sake Bar,"150 E 46th St, New York, NY 10017"
"akaya Harima: 310 E 46th St, New York, NY 10017",akaya Harima,"310 E 46th St, New York, NY 10017"
"SakaMai: 157 Ludlow St, New York, NY 10002",SakaMai,"157 Ludlow St, New York, NY 10002"
"EN Brasserie: 435 Hudson St, New York, NY 10014",EN Brasserie,"435 Hudson St, New York, NY 10014"
"Sobaya Chelsea Market: 75 9th Ave, New York, NY 10011",Sobaya Chelsea Market,"75 9th Ave, New York, NY 10011"
"Tora Ramen: 222 E 53rd St, New York, NY 10022",Tora Ramen,"222 E 53rd St, New York, NY 10022"
"Terakawa Ramen: 18 Lexington Ave, New York, NY 10010",Terakawa Ramen,"18 Lexington Ave, New York, NY 10010"
"Uchu Kaiseki Bar: 217 Eldridge St, New York, NY 10002",Uchu Kaiseki Bar,"217 Eldridge St, New York, NY 10002"
"Izakaya Torishin: 362 W 53rd St, New York, NY 10019",Izakaya Torishin,"362 W 53rd St, New York, NY 10019"
"Sushi by Bae: 430 E 9th St, New York, NY 10009",Sushi by Bae,"430 E 9th St, New York, NY 10009"
"Bohemian Soho: 24 Minetta Ln, New York, NY 10012",Bohemian Soho,"24 Minetta Ln, New York, NY 10012"
"Kiko: 146 Duane St, New York, NY 10013",Kiko,"146 Duane St, New York, NY 10013"
"Meijin Ramen: 360 W 46th St, New York, NY 10036",Meijin Ramen,"360 W 46th St, New York, NY 10036"
"Mew York City: 53 W 35th St 2nd Fl, New York, NY 10001",Mew York City,"53 W 35th St 2nd Fl, New York, NY 10001"
"Nami Nori Williamsburg: 276 Metropolitan Ave, Brooklyn, NY 11211",Nami Nori Williamsburg,"276 Metropolitan Ave, Brooklyn, NY 11211"
"Houseman: 508 Greenwich St, New York, NY 10013",Houseman,"508 Greenwich St, New York, NY 10013"
"Izakaya Bar Masa: 113 Thompson St, New York, NY 10012",Izakaya Bar Masa,"113 Thompson St, New York, NY 10012"
"Momofuku CCDC: 1090 I St NW, Washington, DC 20001",Momofuku CCDC,"1090 I St NW, Washington, DC 20001"
"Sobaya Lincoln Center: 19 W 44th St, New York, NY 10036",Sobaya Lincoln Center,"19 W 44th St, New York, NY 10036"
"Udon Noodle Shop: 308 E 49th St, New York, NY 10017",Udon Noodle Shop,"308 E 49th St, New York, NY 10017"
"Aburiya Raku UWS: 2182 Broadway, New York, NY 10024",Aburiya Raku UWS,"2182 Broadway, New York, NY 10024"
"Sushi Gari Tribeca: 130 W Broadway, New York, NY 10013",Sushi Gari Tribeca,"130 W Broadway, New York, NY 10013"
"Donburi King: 328 E 6th St, New York, NY 10003",Donburi King,"328 E 6th St, New York, NY 10003"
Han Dynasty: Multiple Locations,Han Dynasty,"215 W 85th St, New York, NY 10024, United States"
Han Dynasty: Multiple Locations,Han Dynasty,"90 3rd Ave, New York, NY 10003, United States"
Han Dynasty: Multiple Locations,Han Dynasty,"1 Dekalb Ave, Brooklyn, NY 11201, United States"
Han Dynasty: Multiple Locations,Han Dynasty,"4504 Pearson St, Queens, NY 11101, United States"
"Ramen Takumi: 428 E 9th St, New York, NY 10009",Ramen Takumi,"428 E 9th St, New York, NY 10009"
"Izakaya Juraku West Village: 35 Carmine St, New York, NY 10014",Izakaya Juraku West Village,"35 Carmine St, New York, NY 10014"
"Yopparai Sake Bar: 150 E 46th St, New York, NY 10017",Yopparai Sake Bar,"150 E 46th St, New York, NY 10017"
"Taro Sushi: 305 E 47th St, New York, NY 10017",Taro Sushi,"305 E 47th St, New York, NY 10017"
"Momofuku Má Pêche: 15 W 56th St, New York, NY 10019",Momofuku Má Pêche,"15 W 56th St, New York, NY 10019"
"Uogashi: 121 E 17th St, New York, NY 10003",Uogashi,"121 E 17th St, New York, NY 10003"
"Izakaya Shun: 309 E 5th St, New York, NY 10003",Izakaya Shun,"309 E 5th St, New York, NY 10003"
"Mr. Taka Ramen: 160 W 56th St, New York, NY 10019",Mr. Taka Ramen,"160 W 56th St, New York, NY 10019"
"Ippudo 5th Ave: 24 W 46th St, New York, NY 10036",Ippudo 5th Ave,"24 W 46th St, New York, NY 10036"
"Men Kui Tei Union Square: 35 W 14th St, New York, NY 10011",Men Kui Tei Union Square,"35 W 14th St, New York, NY 10011"
"Yakiniku Futago: 37 W 17th St, New York, NY 10011",Yakiniku Futago,"37 W 17th St, New York, NY 10011"
"Ootoya Chelsea: 141 W 17th St, New York, NY 10011",Ootoya Chelsea,"141 W 17th St, New York, NY 10011"
"Sobaya Midtown East: 229 E 44th St, New York, NY 10017",Sobaya Midtown East,"229 E 44th St, New York, NY 10017"
"Tonkotsu Ramen: 328 E 6th St, New York, NY 10003",Tonkotsu Ramen,"328 E 6th St, New York, NY 10003"
"Momofuku Ssäm Bar: 207 2nd Ave, New York, NY 10003",Momofuku Ssäm Bar,"207 2nd Ave, New York, NY 10003"
"Hide-Chan Ramen: 248 E 52nd St, New York, NY 10022",Hide-Chan Ramen,"248 E 52nd St, New York, NY 10022"
"Momofuku Kāwi: 163 First Ave, New York, NY 10003",Momofuku Kāwi,"163 First Ave, New York, NY 10003"
"Davelle: 46 Bowery St, New York, NY 10013",Davelle,"46 Bowery St, New York, NY 10013"
"Niche Niche: 43 Macdougal St, New York, NY 10012",Niche Niche,"43 Macdougal St, New York, NY 10012"
"Tsukimi: 228 E 10th St, New York, NY 10003",Tsukimi,"228 E 10th St, New York, NY 10003"
"Omakase Room by Mitsu: 9 Jones St, New York, NY 10014",Omakase Room by Mitsu,"9 Jones St, New York, NY 10014"
"Shoji at 69 Leonard Street: 69 Leonard St, New York, NY 10013",Shoji at 69 Leonard Street,"69 Leonard St, New York, NY 10013"
"En Japanese Brasserie: 435 Hudson St, New York, NY 10014",En Japanese Brasserie,"435 Hudson St, New York, NY 10014"
"Sushi Dojo: 110 1st Ave, New York, NY 10009",Sushi Dojo,"110 1st Ave, New York, NY 10009"
"Kissaki Water Street: 81 Water St, New York, NY 10005",Kissaki Water Street,"81 Water St, New York, NY 10005"
"Momofuku Noodle Bar West Village: 568 Amsterdam Ave, New York, NY 10024",Momofuku Noodle Bar West Village,"568 Amsterdam Ave, New York, NY 10024"
"K Ramen Burger Beer: 342 E 6th St, New York, NY 10003",K Ramen Burger Beer,"342 E 6th St, New York, NY 10003"
"Izakaya Torishin: 362 W 53rd St, New York, NY 10019",Izakaya Torishin,"362 W 53rd St, New York, NY 10019"
"Omakaseed: 342 Bowery, New York, NY 10012",Omakaseed,"342 Bowery, New York, NY 10012"
"Kintsugi: 20 Grand St, New York, NY 10013",Kintsugi,"20 Grand St, New York, NY 10013"
"Izakaya Ninja: 25 Hudson St, New York, NY 10013",Izakaya Ninja,"25 Hudson St, New York, NY 10013"
"Sushi Lab Rooftop: 132 W 47th St, New York, NY 10036",Sushi Lab Rooftop,"132 W 47th St, New York, NY 10036"
"1 OR 8: 66 S 2nd St, Brooklyn, NY 11211",1 OR 8,"66 S 2nd St, Brooklyn, NY 11211"
"DOMODOMO: 140 W Houston St, New York, NY 10012",DOMODOMO,"140 W Houston St, New York, NY 10012"
"The Izakaya: 326 E 6th St, New York, NY 10003",The Izakaya,"326 E 6th St, New York, NY 10003"
"Riki: 27 Grand St, New York, NY 10013",Riki,"27 Grand St, New York, NY 10013"
"Momofuku Noodle Bar Columbus Circle: 10 Columbus Cir, New York, NY 10019",Momofuku Noodle Bar Columbus Circle,"10 Columbus Cir, New York, NY 10019"
"Momofuku Kōjin: 195 Chrystie St, New York, NY 10002",Momofuku Kōjin,"195 Chrystie St, New York, NY 10002"
"ROKC: 3452 Broadway, New York, NY 10031",ROKC,"3452 Broadway, New York, NY 10031"
"Sobaya Upper West Side: 230 W 79th St, New York, NY 10024",Sobaya Upper West Side,"230 W 79th St, New York, NY 10024"
"Tempura Matsui: 222 E 39th St, New York, NY 10016",Tempura Matsui,"222 E 39th St, New York, NY 10016"
"Aburiya Raku: 120 E 40th St, New York, NY 10016",Aburiya Raku,"120 E 40th St, New York, NY 10016"
"Udon Lab: 120 St Marks Pl, New York, NY 10009",Udon Lab,"120 St Marks Pl, New York, NY 10009"
"Raku: 48 MacDougal St, New York, NY 10012",Raku,"48 MacDougal St, New York, NY 10012"
"Menchanko-Tei: 39 W 55th St, New York, NY 10019",Menchanko-Tei,"39 W 55th St, New York, NY 10019"
"Oiji Mi: 17 W 19th St, New York, NY 10011",Oiji Mi,"17 W 19th St, New York, NY 10011"
"Hasaki Restaurant: 210 E 9th St, New York, NY 10003",Hasaki Restaurant,"210 E 9th St, New York, NY 10003"
"Izakaya #1: 131 Avenue A, New York, NY 10009",Izakaya #1,"131 Avenue A, New York, NY 10009"
"Suki: 140 W Houston St, New York, NY 10012",Suki,"140 W Houston St, New York, NY 10012"
"Omakase Room by Tatsu: 285 W Broadway, New York, NY 10013",Omakase Room by Tatsu,"285 W Broadway, New York, NY 10013"
"Sushi Ishikawa: 419 E 9th St, New York, NY 10009",Sushi Ishikawa,"419 E 9th St, New York, NY 10009"
"Tetsu Basement: 135 Thompson St, New York, NY 10012",Tetsu Basement,"135 Thompson St, New York, NY 10012"
"Nami Nori: 33 Carmine St, New York, NY 10014",Nami Nori,"33 Carmine St, New York, NY 10014"
"Sobaya: 229 E 9th St, New York, NY 10003",Sobaya,"229 E 9th St, New York, NY 10003"
"Tsurutontan Udon Noodle Brasserie: 21 E 16th St, New York, NY 10003",Tsurutontan Udon Noodle Brasserie,"21 E 16th St, New York, NY 10003"
"Taro Sushi: 1822 2nd Ave, New York, NY 10128",Taro Sushi,"1822 2nd Ave, New York, NY 10128"
"Sushi Choshi: 13 E 47th St, New York, NY 10017",Sushi Choshi,"13 E 47th St, New York, NY 10017"
"Hatsuhana: 17 E 48th St, New York, NY 10017",Hatsuhana,"17 E 48th St, New York, NY 10017"
"Sushi of Gari 46: 347 W 46th St, New York, NY 10036",Sushi of Gari 46,"347 W 46th St, New York, NY 10036"
"Aburiya Raku - East Village: 28 Greenwich Ave, New York, NY 10011",Aburiya Raku - East Village,"28 Greenwich Ave, New York, NY 10011"
"Don Wagyu: 28 S William St, New York, NY 10004",Don Wagyu,"28 S William St, New York, NY 10004"
"Icca: 55 Franklin St, New York, NY 10013",Icca,"55 Franklin St, New York, NY 10013"
"Sobakoh: 309 E 5th St, New York, NY 10003",Sobakoh,"309 E 5th St, New York, NY 10003"
"Zuma: 261 Madison Ave, New York, NY 10016",Zuma,"261 Madison Ave, New York, NY 10016"
"EN Japanese Brasserie: 435 Hudson St, New York, NY 10014",EN Japanese Brasserie,"435 Hudson St, New York, NY 10014"
"Ootoya Chelsea: 141 W 17th St, New York, NY 10011",Ootoya Chelsea,"141 W 17th St, New York, NY 10011"
"Momosan Ramen & Sake: 342 Lexington Ave, New York, NY 10016",Momosan Ramen & Sake,"342 Lexington Ave, New York, NY 10016"
"Menchanko-Tei: 39 W 55th St, New York, NY 10019",Menchanko-Tei,"39 W 55th St, New York, NY 10019"
"Izakaya Samurice: 252 W 14th St, New York, NY 10011",Izakaya Samurice,"252 W 14th St, New York, NY 10011"
"Suki: 140 W Houston St, New York, NY 10012",Suki,"140 W Houston St, New York, NY 10012"
"Sen Sakana: 28 W 44th St, New York, NY 10036",Sen Sakana,"28 W 44th St, New York, NY 10036"
"Kintsugi NYC: 20 Grand St, New York, NY 10013",Kintsugi NYC,"20 Grand St, New York, NY 10013"
"Sobaya East Village: 229 E 9th St, New York, NY 10003",Sobaya East Village,"229 E 9th St, New York, NY 10003"
Mr Taka Ramen: Multiple Locations,Mr Taka Ramen,"170 Allen St, New York, NY 10002, United States"
Mr Taka Ramen: Multiple Locations,Mr Taka Ramen,"55 Water St, Brooklyn, NY 11201, United States"
Mr Taka Ramen: Multiple Locations,Mr Taka Ramen,"368 Stratford Rd, Brooklyn, NY 11218, United States"
"Ramen by MEW: 180 W 4th St, New York, NY 10014",Ramen by MEW,"180 W 4th St, New York, NY 10014"
"Nakamura: 172 Delancey St, New York, NY 10002",Nakamura,"172 Delancey St, New York, NY 10002"
"Yakitori Torishin: 274 W 23rd St, New York, NY 10011",Yakitori Torishin,"274 W 23rd St, New York, NY 10011"
"Sushi Inoue: 381 Lenox Ave, New York, NY 10027",Sushi Inoue,"381 Lenox Ave, New York, NY 10027"
"Omakase by Hiro: 310 W 53rd St, New York, NY 10019",Omakase by Hiro,"310 W 53rd St, New York, NY 10019"
"Omakase Room by Mitsu: 9 Jones St, New York, NY 10014",Omakase Room by Mitsu,"9 Jones St, New York, NY 10014"
"Kanoyama: 175 2nd Ave, New York, NY 10003",Kanoyama,"175 2nd Ave, New York, NY 10003"
"Yakitori Zai: 156 Chambers St, New York, NY 10007",Yakitori Zai,"156 Chambers St, New York, NY 10007"
"Kambi Ramen House: 546 W 112th St, New York, NY 10025",Kambi Ramen House,"546 W 112th St, New York, NY 10025"
"Rai Rai Ken Midtown: 568 3rd Ave, New York, NY 10016",Rai Rai Ken Midtown,"568 3rd Ave, New York, NY 10016"
"Sushi Katsuei: 210 E 44th St, New York, NY 10017",Sushi Katsuei,"210 E 44th St, New York, NY 10017"
"Bar Moga East: 1 E 13th St, New York, NY 10003",Bar Moga East,"1 E 13th St, New York, NY 10003"
"Koyo: 205 Chrystie St, New York, NY 10002",Koyo,"205 Chrystie St, New York, NY 10002"
"Sushi on Me: 176 Orchard St, New York, NY 10002",Sushi on Me,"176 Orchard St, New York, NY 10002"
"Soba Noodle Azuma: 490 8th Ave, New York, NY 10001",Soba Noodle Azuma,"490 8th Ave, New York, NY 10001"
"Udon Time: 145 E 45th St, New York, NY 10017",Udon Time,"145 E 45th St, New York, NY 10017"
"Aburiya Raku UWS: 2182 Broadway, New York, NY 10024",Aburiya Raku UWS,"2182 Broadway, New York, NY 10024"
"Sushi Gari Tribeca: 130 W Broadway, New York, NY 10013",Sushi Gari Tribeca,"130 W Broadway, New York, NY 10013"
"Donburi King: 328 E 6th St, New York, NY 10003",Donburi King,"328 E 6th St, New York, NY 10003"
"Ramen Takumi: 428 E 9th St, New York, NY 10009",Ramen Takumi,"428 E 9th St, New York, NY 10009"
"Izakaya Juraku West Village: 35 Carmine St, New York, NY 10014",Izakaya Juraku West Village,"35 Carmine St, New York, NY 10014"
"Yopparai Sake Bar: 150 E 46th St, New York, NY 10017",Yopparai Sake Bar,"150 E 46th St, New York, NY 10017"
"Izakaya Harima: 310 E 46th St, New York, NY 10017",Izakaya Harima,"310 E 46th St, New York, NY 10017"
"SakaMai: 157 Ludlow St, New York, NY 10002",SakaMai,"157 Ludlow St, New York, NY 10002"
"Sushi Katsuei Midtown: 141 E 45th St, New York, NY 10017",Sushi Katsuei Midtown,"141 E 45th St, New York, NY 10017"
"Kaiyō Rooftop: 15 W 44th St 18th floor, New York, NY 10036",Kaiyō Rooftop,"15 W 44th St 18th floor, New York, NY 10036"
"Sobaya Upper West Side: 230 W 79th St, New York, NY 10024",Sobaya Upper West Side,"230 W 79th St, New York, NY 10024"
"Soba Totto West: 120 W 55th St, New York, NY 10019",Soba Totto West,"120 W 55th St, New York, NY 10019"
"Momofuku Noodle Bar Upper West Side: 2128 Broadway, New York, NY 10023",Momofuku Noodle Bar Upper West Side,"2128 Broadway, New York, NY 10023"
"Taro Sushi Upper East Side: 1325 Second Ave, New York, NY 10021",Taro Sushi Upper East Side,"1325 Second Ave, New York, NY 10021"
"Udon West 55th Street: 132 W 55th St, New York, NY 10019",Udon West 55th Street,"132 W 55th St, New York, NY 10019"
"Momofuku Noodle Bar East Village: 382 6th Ave, New York, NY 10014",Momofuku Noodle Bar East Village,"382 6th Ave, New York, NY 10014"
"Sobaya Financial District: 40 Broad St, New York, NY 10004",Sobaya Financial District,"40 Broad St, New York, NY 10004"
"Momofuku Ssam Bar: 207 2nd Ave, New York, NY 10003",Momofuku Ssam Bar,"207 2nd Ave, New York, NY 10003"
"Hide-Chan Ramen: 248 E 52nd St, New York, NY 10022",Hide-Chan Ramen,"248 E 52nd St, New York, NY 10022"
"Tsukimi: 228 E 10th St, New York, NY 10003",Tsukimi,"228 E 10th St, New York, NY 10003"
"Shoji at 69 Leonard Street: 69 Leonard St, New York, NY 10013",Shoji at 69 Leonard Street,"69 Leonard St, New York, NY 10013"
"En Japanese Brasserie: 435 Hudson St, New York, NY 10014",En Japanese Brasserie,"435 Hudson St, New York, NY 10014"
"Sushi Dojo: 110 1st Ave, New York, NY 10009",Sushi Dojo,"110 1st Ave, New York, NY 10009"
"Kissaki Water Street: 81 Water St, New York, NY 10005",Kissaki Water Street,"81 Water St, New York, NY 10005"
"Izakaya Torishin: 362 W 53rd St, New York, NY 10019",Izakaya Torishin,"362 W 53rd St, New York, NY 10019"
"Omakaseed: 342 Bowery, New York, NY 10012",Omakaseed,"342 Bowery, New York, NY 10012"
"Sushi Lab Rooftop: 132 W 47th St, New York, NY 10036",Sushi Lab Rooftop,"132 W 47th St, New York, NY 10036"
"DOMODOMO: 140 W Houston St, New York, NY 10012",DOMODOMO,"140 W Houston St, New York, NY 10012"
"The Izakaya: 326 E 6th St, New York, NY 10003",The Izakaya,"326 E 6th St, New York, NY 10003"
"Riki: 27 Grand St, New York, NY 10013",Riki,"27 Grand St, New York, NY 10013"
"Momofuku Kōjin: 195 Chrystie St, New York, NY 10002",Momofuku Kōjin,"195 Chrystie St, New York, NY 10002"
"Sobaya Upper West Side: 230 W 79th St, New York, NY 10024",Sobaya Upper West Side,"230 W 79th St, New York, NY 10024"
"Tempura Matsui: 222 E 39th St, New York, NY 10016",Tempura Matsui,"222 E 39th St, New York, NY 10016"
"Udon Lab: 120 St Marks Pl, New York, NY 10009",Udon Lab,"120 St Marks Pl, New York, NY 10009"
"Raku: 48 MacDougal St, New York, NY 10012",Raku,"48 MacDougal St, New York, NY 10012"
"Menchanko-Tei: 39 W 55th St, New York, NY 10019",Menchanko-Tei,"39 W 55th St, New York, NY 10019"
"Oiji Mi: 17 W 19th St, New York, NY 10011",Oiji Mi,"17 W 19th St, New York, NY 10011"
"Izakaya #1: 131 Avenue A, New York, NY 10009",Izakaya #1,"131 Avenue A, New York, NY 10009"
"Sen Sakana: 28 W 44th St, New York, NY 10036",Sen Sakana,"28 W 44th St, New York, NY 10036"
"Sobaya East Village: 229 E 9th St, New York, NY 10003",Sobaya East Village,"229 E 9th St, New York, NY 10003"
"Yakitori Torishin: 274 W 23rd St, New York, NY 10011",Yakitori Torishin,"274 W 23rd St, New York, NY 10011"
"Sushi Inoue: 381 Lenox Ave, New York, NY 10027",Sushi Inoue,"381 Lenox Ave, New York, NY 10027"
"Kanoyama: 175 2nd Ave, New York, NY 10003",Kanoyama,"175 2nd Ave, New York, NY 10003"
"Kambi Ramen House: 546 W 112th St, New York, NY 10025",Kambi Ramen House,"546 W 112th St, New York, NY 10025"
"Rai Rai Ken Midtown: 568 3rd Ave, New York, NY 10016",Rai Rai Ken Midtown,"568 3rd Ave, New York, NY 10016"
"Sushi Katsuei: 210 E 44th St, New York, NY 10017",Sushi Katsuei,"210 E 44th St, New York, NY 10017"
"Bar Moga East: 1 E 13th St, New York, NY 10003",Bar Moga East,"1 E 13th St, New York, NY 10003"
"Koyo: 205 Chrystie St, New York, NY 10002",Koyo,"205 Chrystie St, New York, NY 10002"
"Soba Noodle Azuma: 490 8th Ave, New York, NY 10001",Soba Noodle Azuma,"490 8th Ave, New York, NY 10001"
"Udon Time: 145 E 45th St, New York, NY 10017",Udon Time,"145 E 45th St, New York, NY 10017"
"Don Wagyu: 28 S William St, New York, NY 10004",Don Wagyu,"28 S William St, New York, NY 10004"
Wagamama: Multiple Locations,Wagamama,"100 W 55th St, New York, NY 10019, United States"
Wagamama: Multiple Locations,Wagamama,"605 3rd Ave, New York, NY 10158, United States"
Wagamama: Multiple Locations,Wagamama,"210 fifth avenue, W 26th St at, New York, NY 10010, United States"
Totto Ramen: Multiple Locations,Totto Ramen,"248 E 52nd St, New York, NY 10022, United States"
Totto Ramen: Multiple Locations,Totto Ramen,"464 W 51st St, New York, NY 10019, United States"
"Izakaya Torishin: 362 W 53rd St, New York, NY 10019",Izakaya Torishin,"362 W 53rd St, New York, NY 10019"
"Miso Ramen: 315 5th Ave, Brooklyn, NY 11215",Miso Ramen,"315 5th Ave, Brooklyn, NY 11215"
"Gaijin Izakaya: 37 King St, New York, NY 10014",Gaijin Izakaya,"37 King St, New York, NY 10014"
"Sobaya Ramen Brooklyn: 55 Willoughby St, Brooklyn, NY 11201",Sobaya Ramen Brooklyn,"55 Willoughby St, Brooklyn, NY 11201"
"Wakuwaku: 14 Bedford Ave, Brooklyn, NY 11222",Wakuwaku,"14 Bedford Ave, Brooklyn, NY 11222"
"Kimika: 40 Kenmare St, New York, NY 10012",Kimika,"40 Kenmare St, New York, NY 10012"
"Nami Nori Greenwich Village: 27 Jones St, New York, NY 10014",Nami Nori Greenwich Village,"27 Jones St, New York, NY 10014"
"Nami Nori West Village: 33 Carmine St, New York, NY 10014",Nami Nori West Village,"33 Carmine St, New York, NY 10014"
"Omakase Room by Chef Hiro: 310 W 53rd St, New York, NY 10019",Omakase Room by Chef Hiro,"310 W 53rd St, New York, NY 10019"
"Okonomi Yuji Ramen: 150 Ainslie St, Brooklyn, NY 11211",Okonomi Yuji Ramen,"150 Ainslie St, Brooklyn, NY 11211"
"Oiji: 119 1st Ave, New York, NY 10003",Oiji,"119 1st Ave, New York, NY 10003"
"Momofuku Kāwi: 163 1st Ave, New York, NY 10003",Momofuku Kāwi,"163 1st Ave, New York, NY 10003"
"Bar Moga: 128 W Houston St, New York, NY 10012",Bar Moga,"128 W Houston St, New York, NY 10012"
"Momofuku Noodle Bar Upper West Side: 2128 Broadway, New York, NY 10023",Momofuku Noodle Bar Upper West Side,"2128 Broadway, New York, NY 10023"
"Ramen Ishida: 122 E 7th St, New York, NY 10009",Ramen Ishida,"122 E 7th St, New York, NY 10009"
"Momofuku Noodle Bar Columbus Circle: 10 Columbus Cir, New York, NY 10019",Momofuku Noodle Bar Columbus Circle,"10 Columbus Cir, New York, NY 10019"
"Yopparai: 150 E 46th St, New York, NY 10017",Yopparai,"150 E 46th St, New York, NY 10017"
"Dr Clark: 104 2nd Ave, New York, NY 10003",Dr Clark,"104 2nd Ave, New York, NY 10003"
"Hi-Collar: 214 E 10th St, New York, NY 10003",Hi-Collar,"214 E 10th St, New York, NY 10003"
"Soba Nippon: 19 W 52nd St, New York, NY 10019",Soba Nippon,"19 W 52nd St, New York, NY 10019"
"Enjb: 207 E 75th St, New York, NY 10021",Enjb,"207 E 75th St, New York, NY 10021"
"Zutto: 77 Hudson St, New York, NY 10006",Zutto,"77 Hudson St, New York, NY 10006"
"Curry-Ya: 214 E 10th St, New York, NY 10003",Curry-Ya,"214 E 10th St, New York, NY 10003"
"Ramen Shack: 120 W 3rd St, New York, NY 10012",Ramen Shack,"120 W 3rd St, New York, NY 10012"
"Bar Moga: 128 W Houston St, New York, NY 10012",Bar Moga,"128 W Houston St, New York, NY 10012"
"Tonchin: 13 W 36th St, New York, NY 10018",Tonchin,"13 W 36th St, New York, NY 10018"
"Ikinari Steak: 90 E 10th St, New York, NY 10003",Ikinari Steak,"90 E 10th St, New York, NY 10003"
"Ramen by MEW: 180 W 4th St, New York, NY 10014",Ramen by MEW,"180 W 4th St, New York, NY 10014"
"Sushi Inoue: 381 Lenox Ave, New York, NY 10027",Sushi Inoue,"381 Lenox Ave, New York, NY 10027"
"Omakase by Hiro: 310 W 53rd St, New York, NY 10019",Omakase by Hiro,"310 W 53rd St, New York, NY 10019"
"Sushi Amane: 245 E 44th St, New York, NY 10017",Sushi Amane,"245 E 44th St, New York, NY 10017"
"Kambi Ramen House: 546 W 112th St, New York, NY 10025",Kambi Ramen House,"546 W 112th St, New York, NY 10025"
"Bar Moga East: 1 E 13th St, New York, NY 10003",Bar Moga East,"1 E 13th St, New York, NY 10003"
"Sushi on Me: 176 Orchard St, New York, NY 10002",Sushi on Me,"176 Orchard St, New York, NY 10002"
"Soba Noodle Azuma: 490 8th Ave, New York, NY 10001",Soba Noodle Azuma,"490 8th Ave, New York, NY 10001"
"Udon Time: 145 E 45th St, New York, NY 10017",Udon Time,"145 E 45th St, New York, NY 10017"
"Don Wagyu: 28 S William St, New York, NY 10004",Don Wagyu,"28 S William St, New York, NY 10004"
"Uchu Kaiseki Bar: 217 Eldridge St, New York, NY 10002",Uchu Kaiseki Bar,"217 Eldridge St, New York, NY 10002"
"Bohemian Soho: 24 Minetta Ln, New York, NY 10012",Bohemian Soho,"24 Minetta Ln, New York, NY 10012"
"Kiko: 146 Duane St, New York, NY 10013",Kiko,"146 Duane St, New York, NY 10013"
"Mew York City: 53 W 35th St 2nd Fl, New York, NY 10001",Mew York City,"53 W 35th St 2nd Fl, New York, NY 10001"
"Nami Nori Williamsburg: 276 Metropolitan Ave, Brooklyn, NY 11211",Nami Nori Williamsburg,"276 Metropolitan Ave, Brooklyn, NY 11211"
"Houseman: 508 Greenwich St, New York, NY 10013",Houseman,"508 Greenwich St, New York, NY 10013"
"Izakaya Bar Masa: 113 Thompson St, New York, NY 10012",Izakaya Bar Masa,"113 Thompson St, New York, NY 10012"
"Sobaya Lincoln Center: 19 W 44th St, New York, NY 10036",Sobaya Lincoln Center,"19 W 44th St, New York, NY 10036"
"Udon Noodle Shop: 308 E 49th St, New York, NY 10017",Udon Noodle Shop,"308 E 49th St, New York, NY 10017"
"J-Spec LIC: 26-25 Jackson Ave, Long Island City, NY 11101",J-Spec LIC,"26-25 Jackson Ave, Long Island City, NY 11101"
"Mu Ramen: 1209 Jackson Ave, Long Island City, NY 11101",Mu Ramen,"1209 Jackson Ave, Long Island City, NY 11101"
"Kogane Ramen: 12-38 Jackson Ave, Long Island City, NY 11101",Kogane Ramen,"12-38 Jackson Ave, Long Island City, NY 11101"
"Murasaki: 45-33 Pearson St, Long Island City, NY 11101",Murasaki,"45-33 Pearson St, Long Island City, NY 11101"
"Tamashii Ramen & Sake Bar: 28-14 49th Ave, Long Island City, NY 11101",Tamashii Ramen & Sake Bar,"28-14 49th Ave, Long Island City, NY 11101"
"Junko Sushi & Bar: 23-19 21st St, Astoria, NY 11105",Junko Sushi & Bar,"23-19 21st St, Astoria, NY 11105"
"SHU Ramen: 136-18 39th Ave, Flushing, NY 11354",SHU Ramen,"136-18 39th Ave, Flushing, NY 11354"
"Ramen Danbo LIC: 24-23 Jackson Ave, Long Island City, NY 11101",Ramen Danbo LIC,"24-23 Jackson Ave, Long Island City, NY 11101"
"Ramen Shack LIC: 48-14 Vernon Blvd, Long Island City, NY 11101",Ramen Shack LIC,"48-14 Vernon Blvd, Long Island City, NY 11101"
"Matchaful LIC: 48-20 Vernon Blvd, Long Island City, NY 11101",Matchaful LIC,"48-20 Vernon Blvd, Long Island City, NY 11101"
